,screen_name,Tweet
14,ELTIEMPO,{'translation_text': '→  Do you want to travel by road to Argentina? This is the route from Bogotá ► https://t.co/KR7h7HXAKV #LasMasCompartidosEnEThttps://t.co/9x1bdc0FFR'}
15,ELTIEMPO,{'translation_text': 'Super Bowl: How much is the ring delivered to the winning team? ► https://t.co/OF5btpDDDg https://t.co/wbEISuT6Eb'}
16,ELTIEMPO,{'translation_text': 'Can you swap your home? This is how this exchange is regulated in Colombia → https://t.co/kK4OVSv0Cy https://t.co/m6myQRmCWd'}
17,ELTIEMPO,{'translation_text': 'Ten buildings that have been completely moved in Colombia and the world  https://t.co/2p14MFevSQ https://t.co/hzxZbz9Mwh'}
18,ELTIEMPO,"{'translation_text': 'Colombian peso, the most devalued in the region, according to Big Mac index ► https://t.co/hTZTNZnnCa https://t.co/oFSj6T47NP'}"
19,ELTIEMPO,{'translation_text': 'They condemn nuns who stole nearly $1 million to use on bets ► https://t.co/CHoAVPEGm5 https://t.co/ScXYEYZsp0'}
20,ELTIEMPO,{'translation_text': 'The advantages of WhatsApp ghost mode and how to activate it ► https://t.co/nwACZUDJpj https://t.co/wIN3tZmxq0'}
21,ELTIEMPO,{'translation_text': 'Attention: Army opens call for non-commissioned officers. Among the benefits are the double degree and home option. Here we give you more details ► https://t.co/m4BgIiSsNk https://t.co/3w84GU7oHm'}
22,ELTIEMPO,{'translation_text': 'How can a podcast help you learn English? Here we tell you ► https://t.co/ilAP1sqPL7 https://t.co/O4PkvYoj2u'}
23,ELTIEMPO,{'translation_text': 'Red toes? New symptom of omicron would be the cause ► https://t.co/OHh2sV7739 https://t.co/oGZfR8L0Yy'}
24,ELTIEMPO,"{'translation_text': ""The Venezuelan police kill 'Koki', one of the most wanted criminals ► https://t.co/ElxbNe1ruW https://t.co/57zKvEzan3""}"
25,ELTIEMPO,"{'translation_text': 'Chao, human? Robot is named as the best company employee ► https://t.co/7qGt8SoWmD https://t.co/dFja88blN6'}"
26,ELTIEMPO,{'translation_text': 'Coronadengue: reported case of simultaneous dengue infection and covid ► https://t.co/7DvgpeG9ea https://t.co/Kl4DAT0X3s'}
27,ELTIEMPO,{'translation_text': 'Three keys to use your losses with responsibility ► https://t.co/ZjATBONK5z https://t.co/krKCzZC2wG'}
28,ELTIEMPO,{'translation_text': 'The mystery of dismembered feet found on beaches in Canada and the USA  https://t.co/FWqhSye87y https://t.co/vI5bwhjVFq'}
29,ELTIEMPO,{'translation_text': 'Please note! There are still restrictions for Colombian travelers around the world. We tell you what they are → https://t.co/sANXPKLbcO https://t.co/XmJmdTQhsG'}
30,ELTIEMPO,"{'translation_text': ""Why are humans creating a form of 'unnatural selection'? We tell you, via @bbcmundo ► https://t.co/Pn0c1DDozv https://t.co/DcTagq6zHc""}"
31,ELTIEMPO,{'translation_text': 'Know the black hole moving through space ► https://t.co/TERrRMKR4w https://t.co/c5aoqLWHZX'}
32,ELTIEMPO,{'translation_text': 'Do you live in Manizales and want to learn English for free? Learn this initiative ► https://t.co/UCSQYh3FLE https://t.co/SWusJgPqQ3'}
33,ELTIEMPO,{'translation_text': 'Please note: it is important to urinate after having sex. Here we tell you why ► https://t.co/UFsN8UY2KT https://t.co/5e0EK6dpW6'}
34,ELTIEMPO,"{'translation_text': ""Impact of Amazon forest fires on everyone's health ► https://t.co/1hgTewd6EJ https://t.co/Q6OQGTtz1w""}"
35,ELTIEMPO,"{'translation_text': 'Bees, dogs and snakes: advice to act on an attack ► https://t.co/1XVUrVpHrB https://t.co/lblhUiayY8'}"
36,ELTIEMPO,"{'translation_text': ""Super Bowl: the rarest bets for Sunday's duel ► https://t.co/l6zL1aOFpy https://t.co/Ti9pJBVDm3""}"
37,ELTIEMPO,{'translation_text': 'Venezuela’s Foreign Minister Félix Plasencia said his country will continue to “close ties with Russia”↓ https://t.co/QlzzQGuFRA'}
38,ELTIEMPO,"{'translation_text': ""Farc systematically recruited children: JEP's hard concept attorney ► https://t.co/aFZAQW1axE Via @JusticiaET https://t.co/AXGimblsFx""}"
39,ELTIEMPO,{'translation_text': 'How are the roads in Bogotá? The IDU updated its diagnosis ► https://t.co/0iHzL3yMVP https://t.co/0HpxmsrFBi'}
40,ELTIEMPO,{'translation_text': 'Del Potro breaks: tears of farewell from an icon of Argentine tennis ► https://t.co/8s0Dm3AmS6 https://t.co/x1LBq3Wyv9'}
41,ELTIEMPO,{'translation_text': 'The family basket in Colombia has been impacted by high prices in the country. And the potato is one of the most worrying rises. We tell you why it is so expensive → https://t.co/1YJWOUEYV https://t.co/Y8D5JPIZB4'}
42,ELTIEMPO,"{'translation_text': ""Via @BogotaET   Politicians and experts analyze the leadership's behavior by their rapprochement with petrism ↓ https://t.co/jeUin6jIx4""}"
43,ELTIEMPO,"{'translation_text': ""Wanting to 'maratone'?  We tell you where to watch the films nominated for the Oscar 2022 awards ► https://t.co/kmOqGne9fM https://t.co/Bq4MJfD9x9""}"
44,ELTIEMPO,{'translation_text': 'The terrible fracture in full competition of the Winter Olympics ► https://t.co/7Cp2U04kt0 https://t.co/Aq9Rqyv4Lp'}
45,ELTIEMPO,"{'translation_text': ""#BlogsET (@eltimeblogs) Read here '3 myths about Russia to discuss' → https://t.co/kJIoMJc6pA https://t.co/o6rqtM2GvR""}"
46,ELTIEMPO,{'translation_text': 'Do you know which is the largest turtle in the world? We show this endangered species that has been under protection for decades. So we follow step ↓ #VideosDW https://t.co/UYPUxaVkj7'}
47,ELTIEMPO,{'translation_text': 'Since 2019 the Office of the Prosecutor has been investigating the allegations made by Aida Merlano ► https://t.co/fUJtHQ3VC6 Via @JusticiaET https://t.co/MFimY22m27'}
48,ELTIEMPO,{'translation_text': 'Super Bowl: a company will pay almost eight million pesos to see the event ► https://t.co/1RVmXxNDqC https://t.co/SOyY0Zvun'}
49,ELTIEMPO,"{'translation_text': ""Another defeat for Elon Musk: the 19-year-old boy who tracks through bots the billionaire's private jet got legal backing to maintain that activity and even expand it ► https://t.co/xqFOyjz728 https://t.co/iQnZxnZR72""}"
50,ELTIEMPO,{'translation_text': 'Duvan Zapata: the famous doctor who will assess the severity of your injury ► https://t.co/KmIAV9P3UV https://t.co/5ZLvakCE9Y'}
51,ELTIEMPO,{'translation_text': 'Why is the mule a hybrid animal and cannot have children? Here we tell you ► https://t.co/a9drjD27g8 #Read MoreInET https://t.co/hm8TofQj9v'}
52,ELTIEMPO,"{'translation_text': ""Vía @JusticiaET   Thus fell 'Mario Bros', 'pure drug' that moved the coca to 'Otoniel' ► https://t.co/MfYnVLqwdj https://t.co/Zw4KHdSfX9""}"
53,ELTIEMPO,{'translation_text': 'Via @bbcmundo  Why do muscles hurt when we get the flu or covid? ► https://t.co/v64nUorC3x https://t.co/2OWSLZFm3P'}
54,ELTIEMPO,{'translation_text': 'Come on! Egan Bernal started the battle for his recovery at home ► https://t.co/vUj0S29QNY https://t.co/DAQMAcjsna'}
55,ELTIEMPO,{'translation_text': 'Learn about the black hole moving through space ► https://t.co/j7by8UJXlo https://t.co/bz1Fwm67AL'}
56,ELTIEMPO,{'translation_text': 'Hybrid security complements the physical with the digital ecosystem and has become a fundamental pillar of innovation in business. Learn from experts on security models in this forum.  We expect you tomorrow at 9 A.M.! → https://t.co/NZNvim1wx0 https://t.co/KUZJDVHqe7'}
57,ELTIEMPO,{'translation_text': 'The intense competition of ‘Dos oruguitas’ and ‘No Bruno’ ► https://t.co/zFWDinyLAF Via @CulturaET https://t.co/AuO3l0JKUV'}
58,ELTIEMPO,"{'translation_text': ""#BlogsET (@el tiempoblogs) 'Businesses of the future, how are they prepared?' → https://t.co/O0ymWc4IYk https://t.co/igALPjHmQG""}"
59,ELTIEMPO,"{'translation_text': 'Sergio Fajardo, not to mention, referred to statements given to THE TIME by also pre-candidate Alejandro Gaviria. This said ► https://t.co/0xevEIDImC https://t.co/DE1CzTRzhz'}"
60,ELTIEMPO,"{'translation_text': ""Yerry Mina continues her bad luck in England's Everton: she suffered a new injury this Tuesday ► https://t.co/mEXIg4gAMI https://t.co/eT0mth3cA0""}"
61,ELTIEMPO,{'translation_text': 'Outrage by young people who killed a parrot with stones and kicks ► https://t.co/43pCV27OjD https://t.co/25QKjQKEsw'}
62,ELTIEMPO,{'translation_text': 'The theft and tracking of a stolen motorcycle at Suba #CityNews https://t.co/l9QK4uLUuP'}
63,ELTIEMPO,{'translation_text': 'Indignant!  West Ham player Kurt Zouma appears in videos kicking and slapping his cat ► https://t.co/1c2sBXYZnH https://t.co/OJQhK7lMI6'}
64,ELTIEMPO,{'translation_text': 'One of the topics they addressed was cybersecurity in the electoral era ↓ https://t.co/2kDJxrXJKv'}
65,ELTIEMPO,{'translation_text': 'There are already more than 136 thousand deaths from covid-19 in Colombia ► https://t.co/ugyE5c3DNq https://t.co/j7ZmfM4Ucf'}
66,ELTIEMPO,{'translation_text': 'Pedro Castillo says they are attempting coups against him ► https://t.co/UXcyjJ2cIj https://t.co/Qc9SnT3WIe'}
67,ELTIEMPO,"{'translation_text': ""#BlogsET (@eltimeblogs) Read here 'About 'Pam &amp; Tommy', 'The Tinder Swindler' → https://t.co/NorBTlb3WU https://t.co/E3FOIeVxUL""}"
68,ELTIEMPO,{'translation_text': 'Attention! There are 15 deaths confirmed by the collapse recorded in Pereira ► https://t.co/bxf7LQ8MyI Via @ColombiaET https://t.co/ppOUcazxV'}
69,ELTIEMPO,{'translation_text': 'The collapse in Pereira buried several houses. So far 15 dead have been confirmed. This is the panorama that is recorded at this time in the place of events. Know the development of the news here → https://t.co/b8f5obkAm6  @juanfotosadn https://t.co/AwRXLs8unG'}
70,ELTIEMPO,"{'translation_text': ""@Prosegur, a global private security benchmark, invites a virtual forum on 9 February: 'Innovation in a changing world: this is how security for the future evolves'. Learn more here → https://t.co/rymdWodPS8 * Sponsored content.""}"
71,ELTIEMPO,{'translation_text': 'A young woman travelled to the UK to meet her boyfriend - whom she met through a dating app - and was killed ► https://t.co/q2lB5NlqWm https://t.co/y0KTo3e8iV'}
72,ELTIEMPO,{'translation_text': 'They stole a dog in Chapinero and now extort from their family. This is the complaint ► https://t.co/sqajTwdulG https://t.co/OBQ2qgJssS'}
73,ELTIEMPO,{'translation_text': 'Katherine Miranda responds to accusations of plagiarism in a campaign video ► https://t.co/76Lxtr32jq https://t.co/2zyfn5MeFq'}
74,ELTIEMPO,{'translation_text': 'Bishop of Buenaventura says he will not withdraw despite threats against him ► https://t.co/q9WCuQmwOx https://t.co/E69s4TscEn'}
75,ELTIEMPO,"{'translation_text': 'Wil Ochoa, the makeup artist of Epa Colombia and other influencers died ► https://t.co/9KASfP0jN7 https://t.co/IQubiCMWtZ'}"
76,ELTIEMPO,"{'translation_text': 'According to the Ministry of Health, to date, 47,386 cases remain active in the country ↓ https://t.co/3nBZXisdL7'}"
77,ELTIEMPO,{'translation_text': 'Know the benefits of drinking beer in cholesterol ► https://t.co/sqQM4Uo3gq https://t.co/DcCfkFtRVp'}
78,ELTIEMPO,{'translation_text': 'James Rodríguez: This was the shocking devaluation of the Colombian ‘10’ ► https://t.co/TBxuobissI https://t.co/r3aRkYDrl6'}
79,ELTIEMPO,"{'translation_text': 'Due to barriers imposed on Martha Sepúlveda, they ask the Court to review the case. Here are the details ► https://t.co/nrqO3VTEqe Via @JusticiaET https://t.co/ydovrQb2pB'}"
80,ELTIEMPO,{'translation_text': 'Tragedy in Pereira: how and where to help those affected by the collapse ► https://t.co/vOHpN55jRO https://t.co/fwgv4Bh5W4'}
81,ELTIEMPO,{'translation_text': 'The two cyclists trained on roads in Antioquia and advance on the preseason ↓ https://t.co/CqxeZf7Hx0'}
82,ELTIEMPO,"{'translation_text': 'In the Black Triangle, former fort of the Farc, coca was exchanged for cocoa ► https://t.co/8VrkGlMFK3 https://t.co/HPeanHfSmO'}"
83,ELTIEMPO,{'translation_text': 'The heartbreaking accounts of the survivors of the Pereira tragedy ► https://t.co/jin3hZFFxv https://t.co/3fkKFDrUNx'}
84,ELTIEMPO,"{'translation_text': 'Chao, human?  Robot is named as the best company employee. Here we tell you ► https://t.co/QGKGFhVdSJ https://t.co/tzmcUBqneM'}"
85,ELTIEMPO,{'translation_text': 'Coronadengue: reported case of simultaneous dengue infection and covid ► https://t.co/fUcjQquaF5 https://t.co/ZXskAO9ks2'}
86,ELTIEMPO,{'translation_text': 'By contamination fish die in Lake Timiza of Kennedy. The damage of a motor bomb generated the emergency ↓ : @Citytv   https://t.co/EGLK8UqO2p https://t.co/i65bs5zAap'}
87,ELTIEMPO,{'translation_text': 'Love Cloud: company offers flights for sexual encounters on the heights ► https://t.co/KUfSYKNCal https://t.co/C1WnuSGv2R'}
88,ELTIEMPO,{'translation_text': 'The former governor of Santander remains in prison. The preparatory hearing for the trial continues in April ↓ https://t.co/IZE8NZKHCR'}
89,ELTIEMPO,"{'translation_text': 'Gustavo Petro spoke about a video in which he appears in a supposed state of intoxication and accepted that he ""failed a drink."" This said ► https://t.co/qtVa0OTRCv https://t.co/u3IC719H0C'}"
90,ELTIEMPO,"{'translation_text': 'For transmitting castrations at events pay to see, they capture 7 people ► https://t.co/WcF8r9OwCA https://t.co/flLJQyPVsj'}"
91,ELTIEMPO,"{'translation_text': '‘Restaurant opening, restaurant docking’. Strongly armed men took mobile phones, money and jewelry from a business in La Castellana ► https://t.co/ErzsKxedpb https://t.co/aiKmpiyWlj'}"
92,ELTIEMPO,{'translation_text': 'Red toes? New symptom of omicron would be the cause ► https://t.co/IwokStc1Or https://t.co/ectLOE3gpo'}
93,ELTIEMPO,{'translation_text': 'Derrumbe in Pereira buried several houses. The Mayor’s office confirms that there are already 14 dead and the wounded reach 29. This is the complicated situation ↓ : @Citytv   https://t.co/YLm5w3h8XE https://t.co/YSOKii1Yso'}
94,ELTIEMPO,{'translation_text': 'How much is the ring delivered to the Super Bowl team? We tell you ► https://t.co/UNHGzfaP2o https://t.co/sb7sB9xv0J'}
95,ELTIEMPO,{'translation_text': 'Prosecutor will charge alias 19 with acts of vandalism and torture in Bogotá ► https://t.co/kYBD4Nqk7j https://t.co/TjSWZooXrb'}
96,ELTIEMPO,"{'translation_text': 'Colombian peso, the most devalued in the region, according to Big Mac index ► https://t.co/m4lETPd67and https://t.co/6F4m6Y60oW'}"
97,ELTIEMPO,"{'translation_text': ""They condemn a nun who stole nearly $1 million to use on bets. Here's the story ► https://t.co/wzSYO8rmU6 https://t.co/jEI7lEljdd""}"
98,ELTIEMPO,{'translation_text': 'The Army opens a call for non-commissioned officers. Benefits include double qualification and home option. Here we give you more details ► https://t.co/GMGONvEqDT https://t.co/aymbRTdbWh'}
99,ELTIEMPO,"{'translation_text': ""Favorite! Disney's tape was also nominated for best soundtrack and best song, with 'Dos oruguitas', performed by Sebastián Yatra.  https://t.co/ATHF7oi4KW https://t.co/qlOvoaanEN""}"
100,elespectador,"{'translation_text': 'If you plan to build housing in your lot, or buy a new property, at #TipLegal we tell you what requirements you need and how to know if it will be a horizontal property. https://t.co/imt27bCsZJ https://t.co/l4qpjCRieQ'}"
101,elespectador,"{'translation_text': '#What HappensInLasFronteras  The situation of public order has worsened since January 2, when a clash of mutual elimination between the Eln and the dissident structures of the Farc was opened. *Analysis of @parescolombia. https://t.co/VnOyum4PvZ'}"
102,elespectador,{'translation_text': 'Via @BogotaEE  Decent menstruations in street dwellers: District obligation https://t.co/qPu0GDLivt https://t.co/qlzgz1y5QL'}
103,elespectador,"{'translation_text': '#ContentPremiumEE  Inflation, beyond interest rates https://t.co/kbLuRwcueG https://t.co/iHgC0p6MEd'}"
104,elespectador,{'translation_text': 'Arauca and Venezuelan Migration: Economic Crisis and Violence https://t.co/GGyINGTace https://t.co/NqQk4pOH1b'}
105,elespectador,{'translation_text': 'A tragedy that could be avoided in Dosquebradas https://t.co/SFS2fVzplw https://t.co/9q0w3YimW0'}
106,elespectador,"{'translation_text': ""#What's going onIn LasFronteras  In Arauca there are about 34,000 Venezuelan migrants, and although many of them go to other cities and countries looking for better opportunities, the wave of violence exposes them to multiple risks. https://t.co/mNFaF4tHnm""}"
107,elespectador,"{'translation_text': ""#ContentPremiumEE  Africa, Russia's new exercise yard? https://t.co/e7I7uJkvi0 https://t.co/cvqhzQnpwG""}"
108,elespectador,{'translation_text': 'There seems to be a real battle in the sector: but why now? Who has the most chance of winning? And what does this mean for gamers?https://t.co/aZWgDXmqg2'}
109,elespectador,"{'translation_text': 'QAnon, a conspiracy theory that already infected Canada https://t.co/67P3CcVVYJ https://t.co/3wgbhJv1z4'}"
110,elespectador,{'translation_text': 'The observation mission called for “not presidentializing the elections to Congress” and for priority to be given to the billing of the just legislature. https://t.co/ef34NmtL5S'}
111,elespectador,{'translation_text': 'About 15% of men are affected by a topic that is usually taboo: erectile dysfunction https://t.co/dwiwPOOkA1'}
112,elespectador,{'translation_text': '#Elections2022 The observation mission called for “not presidentializing the elections to Congress” and for priority to be given to the billing of the just legislature. https://t.co/ef34NmtL5S'}
113,elespectador,"{'translation_text': 'Via @BogotaEE  This modality would be used, according to the complaint, not only to evade the beak and plaque, but also for the commission of crimes. https://t.co/sDRq7AWic3'}"
114,elespectador,"{'translation_text': 'The Ministry of Health recorded that at noon a woman fell from 100th Street Bridge, with a north-south direction. https://t.co/cl9IfdbY8J'}"
115,elespectador,{'translation_text': 'This initiative started in 2015 and seeks to facilitate the acquisition of new housing in urban areas of any municipality in the country through a family housing allowance and/or interest rate coverage. https://t.co/yLvO1CRN4c'}
116,elespectador,"{'translation_text': 'After ten years of observation, scientists published an article showing that they detected this strange body that has generated great expectation among astronomers. How did they do it? What does it mean? https://t.co/1oFXosVBcX'}"
117,elespectador,"{'translation_text': 'The nominations for the 94th edition of the Oscar Awards were announced on Tuesday, virtually by actors Leslie Jordan and Tracie Ellis Ross. https://t.co/7VThgXRVQw'}"
118,elespectador,"{'translation_text': 'His son, Darbey Mosquera Castillo, was murdered in 2008 and presented as a false positive. https://t.co/I7RC0uDK2O'}"
119,elespectador,"{'translation_text': 'Victoria Nuland commented that the United States and Colombia will work to strengthen cybersecurity, “where Colombia, like many other countries, face threats from outside actors against their public and private networks.” https://t.co/VXseltKfOT'}"
120,elespectador,"{'translation_text': 'The petition was made through his lawyer Roberto Rodríguez when he considered that the charges against him have caused damage to the dignity, honour and reputation of the communicator. https://t.co/NSDzGgICc7'}"
121,elespectador,"{'translation_text': 'In most European countries, contagion figures are falling, allowing measures to be suspended. https://t.co/2VB3xJTP0S'}"
122,elespectador,{'translation_text': 'This Wednesday night will be the one-way match among the champions of the 2021 BetPlay League. https://t.co/wPPsuga3gQ'}
123,elespectador,"{'translation_text': 'Since the start of vaccination against covid-19, several women have noticed changes in their menstrual cycle. https://t.co/eDhXVyJQlr'}"
124,elespectador,"{'translation_text': 'Via @BogotaEE  By constitutional order, materials must be supplied from the Mayor of Bogotá so that the inhabitants of the street can attend their cycle month by month. From El Espectador we put the magnifying glass to the access of products of female management. https://t.co/haaY8rPmdZ'}"
125,elespectador,"{'translation_text': 'The current scenario, with problems in global production and transport chains, has more variables on the table than can solve monetary policy adjustments. https://t.co/5UuGaw04Wu'}"
126,elespectador,"{'translation_text': 'The situation of public order has worsened since 2 January, when a clash of mutual elimination between the Eln and the dissident structures of the Farc was opened. https://t.co/c1LgsToemr'}"
127,elespectador,"{'translation_text': ""A geologist warned that since 1989 the area where yesterday's avalanche occurred, in Risaralda, is considered to be at risk by mass removal phenomena, by flooding and torrential avenues, a category of non-mitigatable risk. https://t.co/eSn0mOJGEM""}"
128,elespectador,"{'translation_text': ""#ContentPremiumEE  In the Sahel region, home to the world's poorest nations, Moscow is experimenting with all the instruments at its disposal to beat the West. https://t.co/i7rYSo9wRO""}"
129,elespectador,{'translation_text': 'Follow this recipe with cilantro mayonnaise and a rich vegetable salad bathed in vinaigrette. Hands on site! https://t.co/l8hRcZyjYv #Gastronomy and Recipes'}
130,elespectador,"{'translation_text': '#MostReaded on @EEopinion: Ingrid, antipolitics and politics By: Cristina de la Torre https://t.co/L6TbT77PUM https://t.co/5KV29Q1KGW'}"
131,elespectador,{'translation_text': '#MostReaded at @EEColombia2020: National stop: Women carers of the first lines of Usme https://t.co/4fFo1CCtbL https://t.co/D4vTN0CBqR'}
132,elespectador,{'translation_text': 'Pegg spoke about the characteristics of the weasel and revealed that it has been one of her favorite characters. https://t.co/6s7QWvmXFq #ContentPremiumEE'}
133,elespectador,"{'translation_text': ""#MostReaded on @Tecnospectator: We're fine without Facebook, ministers from Germany and France say https://t.co/URpnBeJ4PS https://t.co/lyOEgUleMw""}"
134,elespectador,"{'translation_text': '#VIDEO Europe begins to lift the restrictions by the COVID-19, two years after the pandemic began and a few months after the arrival of the variant omicron in the world. https://t.co/EVlsrrkDkG https://t.co/ufKzioA9kr'}"
135,elespectador,"{'translation_text': ""#What's going onInLasFronteras  This Thursday, at 5:00 p.m., we will be with Leidy Riera, Mayor @EtelivarTorres, Andrés Aponte (@ideaspaz), and journalist @WilliamWielman discussing the challenges and dynamics of migration in Arauca.  Join us: https://t.co/V8IgxwIXra https://t.co/mx36PhP08X""}"
136,elespectador,{'translation_text': '#Most read in Entertainment: The evil variant of Scarlet Witch is filtered in Doctor Strange https://t.co/yhWAdDJpg2 https://t.co/tTaI3oF8Hv'}
137,elespectador,{'translation_text': '#LoMásLeido en Medio Ambiente: Colombia is losing a natural national park https://t.co/kgIoHFmbxj https://t.co/lZ2ghnGi2j'}
138,elespectador,{'translation_text': 'Scientists are alarmed: the highest glacier in Everest is melting at an unexpected rate. https://t.co/MX4OetV2fP'}
139,elespectador,{'translation_text': '#MostReaded in Education: How to address sexual harassment cases in universities? https://t.co/LzPEijpJHw https://t.co/Hj9wua11n4'}
140,elespectador,{'translation_text': 'The highest glacier in Everest is melting at an unexpected rate. https://t.co/gDJAQh25CB https://t.co/7CZ0PVBURI'}
141,elespectador,"{'translation_text': '#What happensInLasFronteras  In Arauca at least three types of migrants are recognizable: population with a vocation to stay, pendular population and population in transit. These logics also apply to Colombian returnees from Venezuela. https://t.co/mNFaF4tHnm'}"
142,elespectador,{'translation_text': '#MostReaded in Health: South Africa manufactures a covid-19 vaccine using the Moderna sequence https://t.co/FkhNugWAFZ https://t.co/j4s5iFy7wB'}
143,elespectador,"{'translation_text': ""#VIDEO The landslide that hit the La Esneda neighborhood in the early morning of 8 February already leaves 16 dead and more than 36 people injured, three of them minors, according to the latest report of the Ombudsman's Office. https://t.co/usrCAWJ7rc https://t.co/KZpUScMfjZ""}"
144,elespectador,{'translation_text': 'What is the best way to address these complaints? Here we explain. https://t.co/soZhLm9nYU'}
145,elespectador,"{'translation_text': ""#Most read in Science: What is a dog's life expectancy? https://t.co/1x4dPptoCh https://t.co/YyEd64E4zQ""}"
146,elespectador,"{'translation_text': 'A Quemarropa with Sara Botero, candidate for the House of Antioquia for Commons. https://t.co/0BgaUXaT9S https://t.co/clhuQHmqRT'}"
147,elespectador,"{'translation_text': '#AQuemarropa  The candidate César Jerez will be committed to a comprehensive rural reform and, in fact, to the implementation of illicit crop substitution programs. Learn about his proposals here: https://t.co/ZIAAiHvSlD'}"
148,elespectador,"{'translation_text': 'Bilingualism, a barrier to the internationalization of Pacific music. https://t.co/TQGu8UEtEu https://t.co/MmuBbmPFgY'}"
149,elespectador,{'translation_text': '#MostReaded on @elmagazin: Sicilian codes in “The godfather” https://t.co/ohaqqkZJWF https://t.co/LLgTsiDwmr'}
150,elespectador,"{'translation_text': 'Rayan, the child who generated shock in Morocco and around the world, was buried on Monday, February 7 near Ighran, his native village. https://t.co/3DzoDkzO6l https://t.co/Tv9xceL9w8'}"
151,elespectador,{'translation_text': '#MostReaded on @DeportesEE: Carlos Quintana in Beijing 2022: the dream that began in front of a TV https://t.co/AMEXMW8z1D https://t.co/PKUANATEWi'}
152,elespectador,"{'translation_text': 'Jaime and Gabriel Gilinski leave the board of directors of the bank GNB Sudameris of their property, to make presence in the corporate commission of Nutresa and Sura that hold their assemblies this month. https://t.co/6XzYTJr7gE'}"
153,elespectador,"{'translation_text': 'The Spectator spoke with Nicolás Uribe Rueda, president of the Chamber of Commerce of Bogotá, about the Great Survey of Businessmen carried out for the first time in Bogotá and the Region. https://t.co/KU0dadMazH'}"
154,elespectador,"{'translation_text': 'Data from the Washington Post showed that, this Tuesday, Russian warships sailed to the Black Sea. This, one day after French President Emmanuel Macron met with his Russian counterpart in Moscow. https://t.co/4CPl8Dy3M2'}"
155,elespectador,{'translation_text': '#Most read in The World: Donald Trump took letters from Kim Jong Un and Obama from the White House without permission https://t.co/URyELktala https://t.co/wBuQTRz2ms'}
156,elespectador,"{'translation_text': 'For the first time, a team of researchers observed how chimpanzees capture insects and then place them on their wounds and those of the group members. https://t.co/DiHGYePZ9z'}"
157,elespectador,{'translation_text': '#Elections2022  What does the Congress of the Republic do? What are the peace seats? What benefits do I have to vote for? We answer this and other questions. https://t.co/4ftHfQznjs'}
158,elespectador,{'translation_text': 'Former combatants who disengaged from this political community stated in a letter to the National Protection Unit (UNP) that leaders are excluding from protection measures those peace signatories who do not militate with them. https://t.co/xl9Z2GtFfc'}
159,elespectador,{'translation_text': '#MostReaded in Economics: Why has the price of the potato risen so much? https://t.co/QsnNERovJ2 https://t.co/UCOV1DnJkK'}
